index,obsid,RA_(J2000),Dec_(J2000)
948,31306006,147.19313,0.37964
949,31306032,147.19407,0.42576
950,31306015,147.1941,0.36999
951,31306028,147.19549,0.37098
952,31306004,147.19678,0.36943
953,31306003,147.19794,0.39599
954,31306029,147.19912,0.36682
955,31306014,147.19933,0.39327
956,31306007,147.20126,0.42174
958,31306033,147.20432,0.34319
959,31306041,147.20456,0.33939
960,31306013,147.20729,0.39434
961,31306010,147.2077,0.40988
963,31306016,147.22518,0.3916
964,31306040,147.23047,0.35187
965,31306024,147.23185,0.39993
966,31306011,147.23309,0.4099
967,31306023,147.23342,0.40232
968,31306017,147.23386,0.40484
970,38394001,147.23924,0.40379
971,31306036,147.23995,0.36404
972,31306009,147.24165,0.40803
973,31306020,147.24337,0.37257
974,31306037,147.2464,0.36054
975,31306008,147.25042,0.41787
977,31306019,147.25441,0.35721
979,31306039,147.25803,0.36966
983,31306038,147.28929,0.40733
985,54900006,149.16045,-0.48198
986,54900011,149.17559,-0.47499
989,54900001,149.19603,-0.52777
990,54950010,149.19637,-0.50447
991,54950011,149.19732,-0.4994
993,54900018,149.20869,-0.45996
994,54950012,149.20966,-0.52548
995,54950017,149.21233,-0.53391
996,54950005,149.21241,-0.51532
997,54950004,149.21273,-0.51294
998,54950008,149.21386,-0.53755
1000,54900017,149.22343,-0.4776
1001,54900012,149.2245,-0.50019
1002,54950013,149.22504,-0.51141
1003,54900005,149.22788,-0.48604
1005,54900009,149.23379,-0.48573
1006,54950007,149.24088,-0.4909
1007,54950009,149.24103,-0.52256
1008,54950006,149.24142,-0.49296
1010,54950019,149.24232,-0.53317
1011,54950034,149.2491,-0.47678
1013,54950016,149.25898,-0.51319
1014,54950003,149.25971,-0.51394
1015,54950039,149.26161,-0.46576
1016,54950014,149.26176,-0.5166
1019,54950035,149.27217,-0.47619
1020,54950002,149.27334,-0.49308
1021,54950027,149.27404,-0.50217
1022,54950038,149.27621,-0.47557
1024,54950028,149.27677,-0.49488
1025,54950020,149.28058,-0.52447
1026,54950032,149.28386,-0.53947
1027,54950029,149.28853,-0.49768
1028,54950026,149.29405,-0.50147
1029,54950030,149.29462,-0.47894
1030,54950021,149.2968,-0.53985
1031,54950023,149.29708,-0.53601
1032,54950022,149.29837,-0.54052
1033,54950037,149.30213,-0.49354
1035,54950024,149.3025,-0.53376
1036,54950031,149.30592,-0.54503
1038,54950025,149.3139,-0.50175
1039,213180001,149.57824,0.32422
1040,213180006,149.58617,0.32845
1041,213180002,149.59087,0.29871
1042,213180005,149.59365,0.30328
1043,213180004,149.60396,0.34991
1044,213180003,149.60732,0.35256
1063,91564001,151.49677,0.21203
1064,91568001,151.50586,0.17171
1065,91566001,151.50723,0.25448
1066,91570001,151.54577,0.14957
1067,91565001,151.62359,0.31028
1068,91567001,151.62853,0.28477
1069,91569001,151.63466,0.26679
1070,91571001,151.63788,0.24664
1072,91575001,151.75857,-0.82661
1073,91577001,151.7877,-0.83678
1074,91579001,151.79291,-0.84857
1075,91573001,151.81171,-0.81533
1076,91574001,151.86669,-0.74429
1077,91576001,151.86998,-0.7691
1078,91578001,151.87823,-0.78958
1079,91580001,151.88165,-0.81182
1082,31720003,152.77322,1.10459
1083,31720002,152.77552,1.10296
1084,35485003,153.54701,0.09248
1086,35485002,153.5587,0.09043
1089,39767005,153.96681,1.20363
1091,39767006,154.00821,1.18685
1096,83904010,154.88278,-0.64585
1098,83904003,154.89095,-0.63635
1101,83904004,154.92087,-0.67215
1102,83904002,154.94381,-0.63831
1105,39159002,155.64391,-1.22023
1108,39159001,155.67185,-1.19183
1109,39159004,155.67208,-1.20617
1111,39159003,155.70129,-1.19099
1112,85772001,155.69213,1.18382
1113,85772002,155.69335,1.23112
1114,33012047,155.87781,0.66432
1115,33012039,155.88339,0.69507
1116,33012121,155.88473,0.63027
1117,33012053,155.88994,0.62697
1119,92401001,155.8939,0.63668
1120,33012042,155.89685,0.6217
1121,33012081,155.89773,0.60921
1122,33012114,155.89773,0.66242
1123,33012120,155.89841,0.61882
1124,33012122,155.89854,0.63977
1125,80035001,155.89999,0.64567
1126,33012051,155.90004,0.63344
1127,33012115,155.90127,0.63876
1129,33012123,155.90192,0.63584
1130,33012046,155.90275,0.60693
1131,33012089,155.90408,0.63202
1133,80035002,155.9071,0.65028
1134,33012086,155.90732,0.59962
1135,33012116,155.90805,0.64579
1136,33012088,155.90921,0.64597
1137,33012118,155.90986,0.62822
1138,33012111,155.91306,0.65848
1139,33012052,155.91385,0.61795
1140,33012113,155.91592,0.61237
1141,33012092,155.91604,0.66927
1142,33012028,155.91832,0.69111
1143,33012110,155.91915,0.59573
1144,33012050,155.92082,0.64708
1145,33012033,155.92196,0.69436
1147,33012043,155.92545,0.63384
1148,33012091,155.92577,0.63442
1149,33012055,155.92584,0.64428
1150,33012090,155.92769,0.64179
1153,33012030,155.93038,0.61495
1154,33012029,155.93047,0.69946
1155,33012119,155.93148,0.67094
1156,33012124,155.93208,0.64967
1157,80035003,155.93245,0.66009
1158,33012083,155.93374,0.692
1159,33012054,155.93485,0.67324
1160,33012075,155.9355,0.5902
1161,33012044,155.93637,0.61541
1162,33012105,155.9377,0.67001
1163,33012020,155.93957,0.65429
1164,33012085,155.94127,0.60837
1165,33012102,155.94245,0.67014
1166,33012038,155.94254,0.62369
1167,33012025,155.94277,0.69944
1168,33012013,155.94429,0.64254
1169,33012041,155.94686,0.60536
1170,33012037,155.94768,0.6481
1171,33012005,155.94878,0.65949
1172,33012015,155.95005,0.63007
1173,33012014,155.95109,0.67642
1174,33012058,155.95118,0.69753
1175,33012017,155.9513,0.64466
1176,33012109,155.95137,0.6838
1177,33012062,155.95215,0.67624
1178,33012098,155.95233,0.64747
1180,33012068,155.95304,0.63801
1181,33012059,155.95512,0.64724
1182,33012094,155.95539,0.65649
1183,33012027,155.95549,0.63465
1184,33012004,155.95587,0.63925
1185,33012034,155.9566,0.63307
1186,33012099,155.95684,0.63509
1187,33012023,155.95814,0.65303
1188,33012101,155.95847,0.65084
1189,33012026,155.95932,0.69944
1190,33012064,155.95935,0.66567
1191,33012078,155.95965,0.61088
1192,33012073,155.96029,0.65454
1193,33012076,155.96099,0.62497
1194,33012018,155.96127,0.64917
1195,33012084,155.9622,0.65561
1196,33012071,155.96238,0.65387
1197,33012040,155.9624,0.72581
1198,33012036,155.96258,0.69823
1199,33012012,155.96282,0.64021
1200,33012066,155.96304,0.68014
1201,33012032,155.96325,0.62381
1202,33012063,155.96402,0.67211
1203,33012097,155.96405,0.65132
1204,33012011,155.96451,0.64805
1205,33012065,155.96493,0.65984
1206,33012022,155.96536,0.6638
1207,33012100,155.96543,0.65724
1208,33012057,155.96565,0.68284
1209,33012107,155.96701,0.68053
1210,33012112,155.96704,0.60021
1211,33012019,155.96741,0.65359
1212,33012060,155.968,0.65048
1213,33012061,155.96813,0.67649
1214,33012077,155.96968,0.65411
1215,33012108,155.9706,0.61533
1216,33012021,155.97086,0.64833
1217,33012024,155.97136,0.65353
1218,33012103,155.97257,0.64898
1219,33012008,155.97292,0.65341
1220,33012009,155.97301,0.65389
1221,33012003,155.97314,0.66553
1222,33012082,155.97373,0.61979
1223,33012067,155.97473,0.66424
1224,33012001,155.97519,0.67226
1225,33012002,155.97523,0.66427
1226,33012010,155.97658,0.64725
1227,33012007,155.9769,0.64585
1228,33012106,155.98063,0.65057
1229,33012104,155.98206,0.63272
1230,33012074,155.98345,0.6722
1231,33012016,155.98442,0.66431
1232,33012079,155.99026,0.65959
1233,33012072,155.9958,0.61224
1234,33012080,156.00144,0.64196
1235,33012070,156.00269,0.64468
1236,33012095,156.0035,0.67536
1238,49389005,159.33758,0.57189
1239,49389002,159.3467,0.62796
1240,49389001,159.36722,0.62568
1241,49389004,159.37269,0.66051
1242,49389003,159.38269,0.61296
1247,74031002,160.00196,0.03016
1256,83905004,160.89436,1.06339
1257,83905015,160.90119,1.10121
1259,83905002,160.91505,1.05941
1260,83905009,160.92413,1.06315
1261,83905007,160.92781,1.06005
1262,83905016,160.92877,1.09407
1263,83905017,160.92983,1.08444
1264,83905011,160.96308,1.08449
1266,83905001,160.97048,1.04273
1268,83905012,160.99193,1.06957
1270,38206005,161.9054,-0.00579
1273,38206004,161.91735,-0.02982
1275,82098001,162.30697,-1.15933
1276,82098002,162.35686,-1.17097
1280,74422005,164.97626,-0.00859
1282,74422001,164.98568,-0.01341
1284,74422014,164.9905,0.04568
1287,67729002,165.01112,0.03751
1293,74422013,165.01675,-0.00954
1296,74422011,165.0455,0.00273
1302,38218003,165.98926,0.41346
1303,38218002,166.03919,0.35634
1307,84364004,166.46334,-0.04312
1308,84364006,166.46882,-0.04197
1309,84364002,166.47056,-0.02081
1310,84364007,166.51994,-0.03506
1313,39770007,166.64809,-1.23269
1315,39770008,166.65091,-1.25176
1317,39770009,166.65973,-1.25302
1320,91288006,167.79715,1.10177
1321,91288002,167.79928,1.10521
1322,91288003,167.81033,1.10721
1324,91288004,167.82191,1.12464
1325,91288005,167.83876,1.1001
1332,74005001,169.98902,0.01013
1341,83893010,170.58508,0.47642
1343,83893001,170.67669,0.50511
1344,83893004,170.68514,0.46973
1345,83893011,170.68525,0.47533
1346,83893012,170.68756,0.48174
1353,91289004,170.6759,1.08338
1354,91289006,170.68384,1.1258
1355,91289003,170.68443,1.1057
1356,91289002,170.70094,1.09962
1357,91289007,170.7028,1.10994
1358,91289010,170.71429,1.00423
1359,91289008,170.73126,1.04678
1360,91289009,170.73131,0.99978
1361,84376008,171.74735,-0.95357
1362,84376003,171.75669,-0.98856
1363,84376004,171.76519,-0.97919
1364,84376009,171.77101,-0.97064
1365,84376007,171.79067,-1.00543
1366,84376011,171.80496,-0.98166
1369,84376010,171.84945,-0.99954
1370,84376002,171.85353,-1.00408
1371,33647015,173.33375,0.72191
1373,33647013,173.3441,0.74532
1374,33723008,173.35433,0.72298
1375,33647016,173.35827,0.73139
1376,33723006,173.36186,0.71501
1377,33723017,173.37085,0.72786
1378,33723002,173.37101,0.71962
1379,33647017,173.37474,0.7235
1380,33647001,173.37509,0.7398
1381,33647023,173.37778,0.72925
1382,33723009,173.38022,0.71859
1383,33723005,173.38041,0.6966
1384,33647020,173.38195,0.72716
1385,33723001,173.38234,0.69891
1386,33647019,173.38634,0.68541
1387,33723003,173.38738,0.71818
1388,33647021,173.38841,0.72472
1389,33647009,173.38884,0.72595
1390,33647022,173.38986,0.73139
1391,33723010,173.39143,0.72882
1392,33723007,173.39494,0.71137
1393,33723016,173.39853,0.64646
1395,33647018,173.40457,0.72403
1396,33723014,173.41405,0.72366
1397,33647011,173.41429,0.72668
1398,33647026,173.41766,0.72656
1399,33723011,173.41846,0.74651
1400,33647003,173.42019,0.73725
1401,33647025,173.42151,0.71287
1402,33723004,173.4293,0.72829
1405,33723013,173.43255,0.63656
1407,33647004,173.44449,0.67384
1408,33647002,173.44482,0.65423
1409,33647006,173.45047,0.66336
1410,33647008,173.45374,0.68296
1411,33647010,173.47744,0.65478
1412,33647005,173.47819,0.68296
1413,33723015,173.51283,0.71223
1425,68430001,174.9916,-0.01061
1426,74039003,174.99361,0.00862
1427,74039001,174.99451,0.01016
1429,74039008,174.99702,0.00845
1431,74039004,175.00012,-0.0372
1432,74039006,175.00094,0.01108
1434,74039002,175.00732,-0.00916
1437,74039005,175.02218,-0.03333
1439,85767001,175.16768,-0.02298
1440,85767002,175.20783,-0.00326
1442,46374002,175.40893,-0.43999
1443,46374003,175.41735,-0.46944
1450,33025003,177.96206,1.14467
1451,33029001,177.96395,1.14845
1452,33026001,177.97355,1.13927
1453,33026002,177.97467,1.14017
1454,33026003,177.97616,1.13895
1459,33032001,178.09133,1.07455
1461,33030001,178.42409,0.89561
1462,33027003,178.4268,0.89727
1463,33028001,178.43762,0.89205
1464,33028002,178.43769,0.89086
1465,33028003,178.4404,0.89025
1466,85768003,178.42796,-0.7565
1467,85768005,178.43686,-0.75814
1468,85768002,178.4387,-0.78154
1469,85768004,178.45658,-0.74181
1482,75052002,179.99162,0.00016
1483,68449002,179.99438,-0.01138
1486,75052003,179.99642,-0.00015
1493,75052001,180.02744,-0.03996
1494,30892056,180.04276,-1.13091
1495,30892054,180.06967,-1.15645
1496,30892053,180.10883,-1.13408
1499,30892050,180.1176,-1.13352
1501,30892055,180.13359,-1.1423
1502,30892052,180.14265,-1.11582
1503,30892051,180.17555,-1.12702
1504,40569001,180.2651,-0.08141
1505,40569002,180.27117,-0.09663
1509,114485002,181.11764,-1.17926
1510,114485000,181.13554,-1.22483
1511,114485001,181.14123,-1.18001
1512,31740001,184.44898,-0.52414
1513,31740002,184.4574,-0.52411
1514,34522003,184.53416,0.21433
1515,34522001,184.53721,0.24439
1516,34522002,184.54265,0.20822
1531,74470003,185.00496,-0.00311
1533,74470002,185.00643,-0.00099
1534,74470004,185.00787,0.0005
1549,75042003,189.98633,-0.00748
1553,75042006,190.00498,0.02218
1556,75042002,190.00646,0.00024
1557,75042009,190.00647,0.00302
1559,55350023,190.57045,-0.67821
1560,55350007,190.58258,-0.70444
1561,55350006,190.58305,-0.7047
1562,55350005,190.59393,-0.70589
1563,55350022,190.59662,-0.67411
1567,55400007,190.63697,-0.49164
1568,55350016,190.63803,-0.70525
1569,55350018,190.63872,-0.71888
1570,55400012,190.63896,-0.49869
1571,55350008,190.64086,-0.72025
1572,55400011,190.64272,-0.49534
1574,55400021,190.65146,-0.40084
1575,55400019,190.65234,-0.40068
1576,55400020,190.65279,-0.40543
1577,55400006,190.65295,-0.44475
1578,55350009,190.6539,-0.71855
1579,55400008,190.65613,-0.44736
1580,55350004,190.65896,-0.68448
1582,55350010,190.66064,-0.71479
1583,55400013,190.66284,-0.43159
1584,55400005,190.66314,-0.51297
1586,55400016,190.6686,-0.43815
1587,55350012,190.66915,-0.72013
1588,55400010,190.671,-0.52294
1589,55350011,190.67229,-0.7152
1591,55400014,190.69162,-0.44736
1592,84612002,190.772,-0.6131
1593,84612001,190.79387,-0.62638
1594,84612004,190.80255,-0.64584
1595,84612005,190.84425,-0.58855
1598,55450003,190.97813,-0.60005
1599,55450006,190.98783,-0.59963
1601,55450005,190.98987,-0.54851
1602,55450007,191.00044,-0.53778
1603,55450010,191.00362,-0.54421
1604,55450008,191.03043,-0.54767
1605,33545005,191.2151,-0.42711
1608,33545001,191.27016,-0.44777
