,Target_Name,obsid,obs_chunk,RA_(J2000),Dec_(J2000),start_time,processing_date,xrt_exposure,uvot_exposure,bat_exposure,archive_date,Eclip_LONG,Eclip_LAT,GroupID,GroupSize
905,GRB141109A,618024013,1.0,144.55469,-0.58536,2014-11-18 00:15:00,"Nov 28, 2014",4568.296,4565.312,4587.0,"Nov 29, 2014",147.051734189,-13.8890412395,83.0,24.0
906,GRB141109A,618024024,1.0,144.55562,-0.59649,2014-12-01 17:31:00,"Dec 11, 2014",1920.744,1915.26,1938.0,"Dec 12, 2014",147.056464699,-13.8992223543,83.0,24.0
907,GRB141109A,618024016,1.0,144.56268,-0.59463,2014-11-21 00:38:00,"Dec 1, 2014",2858.289,2851.976,2058.0,"Dec 2, 2014",147.062680264,-13.8951122132,83.0,24.0
908,GRB141109A,618024002,1.0,144.56986,-0.60866,2014-11-11 00:38:00,"Nov 21, 2014",4373.123,4363.839,4403.0,"Nov 22, 2014",147.074477714,-13.9059399467,83.0,24.0
921,SWIFTJ0942.5+01,37801002,1.0,145.64591,1.07706,2011-10-07 03:12:00,"Oct 13, 2011",3111.532,3201.654,3263.0,"Oct 14, 2011",147.535793641,-11.9572735752,85.0,5.0
922,SWIFTJ0942.5+01,37801003,1.0,145.65515,1.0816,2011-10-09 05:01:00,"Oct 15, 2011",2491.349,2483.113,2534.0,"Oct 16, 2011",147.543131018,-11.9498958373,85.0,5.0
924,SDSSJ094306.03+,35131001,1.0,145.7581,0.30164,2005-06-16 23:59:00,"Nov 18, 2014",7794.882,7363.777,8061.0,"Jun 27, 2005",147.910859429,-12.6497878036,86.0,3.0
925,SDSSJ094306.03+,35131002,1.0,145.77775,0.29273,2005-06-26 08:59:00,"Nov 18, 2014",9932.867,9903.502,10351.0,"Jul 7, 2005",147.932897521,-12.6515534853,86.0,3.0
927,RXSJ094620.5+01,46471001,1.0,146.54223,1.08774,2012-07-02 00:10:00,"Jul 12, 2012",22.556,21.415,0.0,"Jul 13, 2012",148.393987105,-11.6449780915,87.0,13.0
928,RXSJ094620.5+01,46471005,2.0,146.55542,1.0439,2014-10-25 23:19:00,"Nov 4, 2014",223.159,220.736,229.0,"Nov 5, 2014",148.421825978,-11.6817548009,87.0,13.0
929,RXSJ094620.5+01,46471002,1.0,146.5604,1.09396,2012-07-03 03:11:00,"Jul 13, 2012",208.066,205.598,213.0,"Jul 14, 2012",148.409285773,-11.6329699422,87.0,13.0
932,BZBJ0946+0104,91399002,1.0,146.58343,1.08058,2012-10-09 02:21:00,"Oct 15, 2012",2628.405,2562.484,2666.0,"Oct 16, 2012",148.436033356,-11.6377535917,87.0,13.0
933,BZBJ0946+0104,91399006,1.0,146.58637,1.10932,2012-10-27 01:37:00,"Nov 17, 2012",2040.554,2013.144,2055.0,"Nov 20, 2012",148.42891048,-11.6097187009,87.0,13.0
934,BZBJ0946+0104,91399005,1.0,146.59168,1.09475,2012-10-25 23:54:00,"Nov 16, 2012",167.321,167.204,176.0,"Nov 18, 2012",148.439051849,-11.6216263705,87.0,13.0
935,BZBJ0946+0104,91399004,1.0,146.59625,1.07794,2012-10-22 05:51:00,"Dec 7, 2012",1437.388,1412.896,1445.0,"Nov 15, 2012",148.449258875,-11.6358918922,87.0,13.0
