Tile,MagType,Error,MagErr_Box,MagErr_Fit
S82p3p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p3p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.3211913291
S82p3p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.4015488678
S82p24p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7391629464,24.6116612273
S82p24p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8436901675
S82p24p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.748550437,24.6356676974
S82p24p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.8644599547
S82p24p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.7722671115,-0.609437912434
S82p24p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p24p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,25.144129116,25.1764576167
S82p24p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.2398234641
S82p44p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.7342900933,24.4812108543
S82p44p_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.7178647265
S82p44p_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.749035657,24.5123972439
S82p44p_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.746410836
S82p44p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.3983689368,-0.609437912434
S82p44p_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p44p_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,24.9076413866
S82p44p_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,25.9837787437
S82p13m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8473956806,24.6536545544
S82p13m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.9212919245
S82p13m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8599058118,24.6852490552
S82p13m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9475994813
S82p13m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.662648422,-0.609437912434
S82p13m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p13m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.1471161256
S82p13m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.2209804993
S82p28m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,25.0142744433,24.8319234127
S82p28m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,26.0934782445
S82p28m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,25.0269521702,24.8645900435
S82p28m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,26.1211876469
S82p28m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.8197078293,-0.609437912434
S82p28m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.5,,0.30685281944
S82p28m_y.V2.7A.swarp.cut.deV.fit,PSF,0.2,,25.3033175952
S82p28m_y.V2.7A.swarp.cut.deV.fit,PSF,0.5,,26.3811223078
S82m13m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.2,24.8503313488,24.6533705249
S82m13m_y.V2.7A.swarp.cut.deV.fit,AUTO,0.5,,25.8877819878
S82m13m_y.V2.7A.swarp.cut.deV.fit,BEST,0.2,24.8627958274,24.6862056311
S82m13m_y.V2.7A.swarp.cut.deV.fit,BEST,0.5,,25.9170521498
S82m13m_y.V2.7A.swarp.cut.deV.fit,MODEL,0.2,23.728683528,-0.609437912434
