file,missing_value,month,units,year
gpcp_1dd_v1.2_p1d.200607_data_monthlyMean.npy,-99999.,07,mm/day,2006
gpcp_1dd_v1.2_p1d.200712_data_monthlyMean.npy,-99999.,12,mm/day,2007
gpcp_1dd_v1.2_p1d.201308_data_monthlyMean.npy,-99999.,08,mm/day,2013
gpcp_1dd_v1.2_p1d.200311_data_monthlyMean.npy,-99999.,11,mm/day,2003
gpcp_1dd_v1.2_p1d.201202_data_monthlyMean.npy,-99999.,02,mm/day,2012
gpcp_1dd_v1.2_p1d.201008_data_monthlyMean.npy,-99999.,08,mm/day,2010
gpcp_1dd_v1.2_p1d.201404_data_monthlyMean.npy,-99999.,04,mm/day,2014
gpcp_1dd_v1.2_p1d.200912_data_monthlyMean.npy,-99999.,12,mm/day,2009
gpcp_1dd_v1.2_p1d.201203_data_monthlyMean.npy,-99999.,03,mm/day,2012
gpcp_1dd_v1.2_p1d.201504_data_monthlyMean.npy,-99999.,04,mm/day,2015
gpcp_1dd_v1.2_p1d.199910_data_monthlyMean.npy,-99999.,10,mm/day,1999
gpcp_1dd_v1.2_p1d.201105_data_monthlyMean.npy,-99999.,05,mm/day,2011
gpcp_1dd_v1.2_p1d.201309_data_monthlyMean.npy,-99999.,09,mm/day,2013
gpcp_1dd_v1.2_p1d.200611_data_monthlyMean.npy,-99999.,11,mm/day,2006
gpcp_1dd_v1.2_p1d.201312_data_monthlyMean.npy,-99999.,12,mm/day,2013
gpcp_1dd_v1.2_p1d.200609_data_monthlyMean.npy,-99999.,09,mm/day,2006
gpcp_1dd_v1.2_p1d.200508_data_monthlyMean.npy,-99999.,08,mm/day,2005
gpcp_1dd_v1.2_p1d.201108_data_monthlyMean.npy,-99999.,08,mm/day,2011
gpcp_1dd_v1.2_p1d.199703_data_monthlyMean.npy,-99999.,03,mm/day,1997
gpcp_1dd_v1.2_p1d.200602_data_monthlyMean.npy,-99999.,02,mm/day,2006
gpcp_1dd_v1.2_p1d.199908_data_monthlyMean.npy,-99999.,08,mm/day,1999
gpcp_1dd_v1.2_p1d.200606_data_monthlyMean.npy,-99999.,06,mm/day,2006
gpcp_1dd_v1.2_p1d.200410_data_monthlyMean.npy,-99999.,10,mm/day,2004
gpcp_1dd_v1.2_p1d.200202_data_monthlyMean.npy,-99999.,02,mm/day,2002
gpcp_1dd_v1.2_p1d.200404_data_monthlyMean.npy,-99999.,04,mm/day,2004
gpcp_1dd_v1.2_p1d.200204_data_monthlyMean.npy,-99999.,04,mm/day,2002
gpcp_1dd_v1.2_p1d.200601_data_monthlyMean.npy,-99999.,01,mm/day,2006
gpcp_1dd_v1.2_p1d.201111_data_monthlyMean.npy,-99999.,11,mm/day,2011
gpcp_1dd_v1.2_p1d.200511_data_monthlyMean.npy,-99999.,11,mm/day,2005
gpcp_1dd_v1.2_p1d.201010_data_monthlyMean.npy,-99999.,10,mm/day,2010
gpcp_1dd_v1.2_p1d.200504_data_monthlyMean.npy,-99999.,04,mm/day,2005
gpcp_1dd_v1.2_p1d.200703_data_monthlyMean.npy,-99999.,03,mm/day,2007
gpcp_1dd_v1.2_p1d.200808_data_monthlyMean.npy,-99999.,08,mm/day,2008
gpcp_1dd_v1.2_p1d.200906_data_monthlyMean.npy,-99999.,06,mm/day,2009
