,OBJECT,RA,DEC,DOI,FITS
20,Crab Nebula,83.6331,22.0145,http://dx.doi.org/10.1051/0004-6361/201218796,FITS_out/MAGIC_2012_PKS2155_SPECTRUM.fits
21,PKS 2155-304,329.7169,-30.2256,http://dx.doi.org/10.1051/0004-6361/201218796,FITS_out/MAGIC_2012_PKS2155_SPECTRUM_1.fits
22,W51,290.925,14.50917,http://dx.doi.org/10.1051/0004-6361/201218846,FITS_out/MAGIC_2012_W51_SPECTRUM.fits
23,1ES 1215+303,184.46700833,30.11684333,http://dx.doi.org/10.1051/0004-6361/201219133,FITS_out/MAGIC_2012_1ES1215_SPECTRUM.fits
24,1ES 1215+303,184.46700833,30.11684333,http://dx.doi.org/10.1051/0004-6361/201219133,FITS_out/MAGIC_2012_1ES1215_SPECTRUM_1.fits
25,4U 0142+61,26.5934,61.7509,http://dx.doi.org/10.1051/0004-6361/201220275,FITS_out/MAGIC_2013_Magnetars_SPECTRUM_1.fits
26,1E 2259+586,345.2846,58.879,http://dx.doi.org/10.1051/0004-6361/201220275,FITS_out/MAGIC_2013_Magnetars_SPECTRUM_3.fits
27,1ES2344+514,356.770153,51.704967,http://dx.doi.org/10.1051/0004-6361/201220714,FITS_out/MAGIC_2013_1ES2344+514_SPECTRUM.fits
28,1ES2344+514,356.770153,51.704967,http://dx.doi.org/10.1051/0004-6361/201220714,FITS_out/MAGIC_2013_1ES2344+514_SPECTRUM_1.fits
29,1ES2344+514,356.770153,51.704967,http://dx.doi.org/10.1051/0004-6361/201220714,FITS_out/MAGIC_2013_1ES2344+514_SPECTRUM_2.fits
30,1ES2344+514,356.770153,51.704967,http://dx.doi.org/10.1051/0004-6361/201220714,FITS_out/MAGIC_2013_1ES2344+514_SPECTRUM_3.fits
32,IC310,49.1792708,41.3247667,http://dx.doi.org/10.1051/0004-6361/201321938,FITS_out/MAGIC_2014_IC310_SPECTRUM.fits
33,IC310,49.1792708,41.3247667,http://dx.doi.org/10.1051/0004-6361/201321938,FITS_out/MAGIC_2014_IC310_SPECTRUM_1.fits
34,IC310,49.1792708,41.3247667,http://dx.doi.org/10.1051/0004-6361/201321938,FITS_out/MAGIC_2014_IC310_SPECTRUM_2.fits
35,IC310,49.1792708,41.3247667,http://dx.doi.org/10.1051/0004-6361/201321938,FITS_out/MAGIC_2014_IC310_SPECTRUM_3.fits
36,NGC1275,49.950667083,41.511695306,http://dx.doi.org/10.1051/0004-6361/201322951,FITS_out/MAGIC_2014_NGC1275_SPECTRUM.fits
37,NGC1275,49.950667083,41.511695306,http://dx.doi.org/10.1051/0004-6361/201322951,FITS_out/MAGIC_2014_NGC1275_SPECTRUM_1.fits
38,3C279,194.046527375,-5.789312417,http://dx.doi.org/10.1051/0004-6361/201323036,FITS_out/MAGIC_2014_3C279_SPECTRUM.fits
39,3C279,194.046527375,-5.789312417,http://dx.doi.org/10.1051/0004-6361/201323036,FITS_out/MAGIC_2014_3C279_SPECTRUM_1.fits
40,PKS1424+240,216.751632458,23.800010444,http://dx.doi.org/10.1051/0004-6361/201423364,FITS_out/MAGIC_2014_PKS1424+240_SPECTRUM.fits
41,PKS1424+240,216.751632458,23.800010444,http://dx.doi.org/10.1051/0004-6361/201423364,FITS_out/MAGIC_2014_PKS1424+240_SPECTRUM_1.fits
42,PKS1424+240,216.751632458,23.800010444,http://dx.doi.org/10.1051/0004-6361/201423364,FITS_out/MAGIC_2014_PKS1424+240_SPECTRUM_2.fits
43,PKS1424+240,216.751632458,23.800010444,http://dx.doi.org/10.1051/0004-6361/201423364,FITS_out/MAGIC_2014_PKS1424+240_SPECTRUM_3.fits
44,Crab Pulsar,83.63307625,22.014493278,http://dx.doi.org/10.1051/0004-6361/201423664,FITS_out/MAGIC_2014_CrabPulsar_SPECTRUM.fits
45,Crab Pulsar,83.63307625,22.014493278,http://dx.doi.org/10.1051/0004-6361/201423664,FITS_out/MAGIC_2014_CrabPulsar_SPECTRUM_1.fits
46,Crab Pulsar,83.63307625,22.014493278,http://dx.doi.org/10.1051/0004-6361/201423664,FITS_out/MAGIC_2014_CrabPulsar_SPECTRUM_2.fits
47,Crab Pulsar,83.63307625,22.014493278,http://dx.doi.org/10.1051/0004-6361/201423664,FITS_out/MAGIC_2014_CrabPulsar_SPECTRUM_3.fits
48,Crab Pulsar,83.63307625,22.014493278,http://dx.doi.org/10.1051/0004-6361/201423664,FITS_out/MAGIC_2014_CrabPulsar_SPECTRUM_4.fits
49,Crab Pulsar,83.63307625,22.014493278,http://dx.doi.org/10.1051/0004-6361/201423664,FITS_out/MAGIC_2014_CrabPulsar_SPECTRUM_5.fits
50,Crab Pulsar,83.63307625,22.014493278,http://dx.doi.org/10.1051/0004-6361/201423664,FITS_out/MAGIC_2014_CrabPulsar_SPECTRUM_6.fits
51,Crab Pulsar,83.63307625,22.014493278,http://dx.doi.org/10.1051/0004-6361/201423664,FITS_out/MAGIC_2014_CrabPulsar_SPECTRUM_7.fits
